Category: All categories

Day,gamestop: (United States)
2021-01-06,5
2021-01-07,7
2021-01-08,7
2021-01-09,7
2021-01-10,6
2021-01-11,4
2021-01-12,4
2021-01-13,5
2021-01-14,5
2021-01-15,5
2021-01-16,7
2021-01-17,6
2021-01-18,5
2021-01-19,5
2021-01-20,5
2021-01-21,11
2021-01-22,9
2021-01-23,9
2021-01-24,7
2021-01-25,11
2021-01-26,18
2021-01-27,52
2021-01-28,100
2021-01-29,80
2021-01-30,35
2021-01-31,22
2021-02-01,27
2021-02-02,26
2021-02-03,19
2021-02-04,14
2021-02-05,14
2021-02-06,9
2021-02-07,6
2021-02-08,7
2021-02-09,10
2021-02-10,8
2021-02-11,7
2021-02-12,7
2021-02-13,7
2021-02-14,6
2021-02-15,6
2021-02-16,5
2021-02-17,5
2021-02-18,7
2021-02-19,7
2021-02-20,6
2021-02-21,6
2021-02-22,5
2021-02-23,5
2021-02-24,13
2021-02-25,15
2021-02-26,10
2021-02-27,8
2021-02-28,6
2021-03-01,6
2021-03-02,6
2021-03-03,6
2021-03-04,6
2021-03-05,6
2021-03-06,5
2021-03-07,5
2021-03-08,6
2021-03-09,9
2021-03-10,9
2021-03-11,7
2021-03-12,6
2021-03-13,7
2021-03-14,7
2021-03-15,7
2021-03-16,7
2021-03-17,8
2021-03-18,8
2021-03-19,7
2021-03-20,7
2021-03-21,7
2021-03-22,5
2021-03-23,7
2021-03-24,6
2021-03-25,7
2021-03-26,7
2021-03-27,7
2021-03-28,5
2021-03-29,5
2021-03-30,5
2021-03-31,5
2021-04-01,5
2021-04-02,6
2021-04-03,6
