date,count
2021-01-06,12
2021-01-07,8
2021-01-08,10
2021-01-09,12
2021-01-10,10
2021-01-11,13
2021-01-12,9
2021-01-13,15
2021-01-14,14
2021-01-15,10
2021-01-16,11
2021-01-17,11
2021-01-18,13
2021-01-19,11
2021-01-20,13
2021-01-21,12
2021-01-22,15
2021-01-23,19
2021-01-24,18
2021-01-25,35
2021-01-26,50
2021-01-27,84
2021-01-28,94
2021-01-29,100
2021-01-30,54
2021-01-31,56
2021-02-01,68
2021-02-02,60
2021-02-03,32
2021-02-04,28
2021-02-05,22
2021-02-06,14
2021-02-07,14
2021-02-08,13
2021-02-09,17
2021-02-10,18
2021-02-11,15
2021-02-12,13
2021-02-13,12
2021-02-14,14
2021-02-15,11
2021-02-16,11
2021-02-17,9
2021-02-18,13
2021-02-19,11
2021-02-20,12
2021-02-21,14
2021-02-22,11
2021-02-23,13
2021-02-24,18
2021-02-25,24
2021-02-26,15
2021-02-27,16
2021-02-28,14
2021-03-01,15
2021-03-02,17
2021-03-03,12
2021-03-04,12
2021-03-05,10
2021-03-06,13
2021-03-07,11
2021-03-08,12
2021-03-09,16
2021-03-10,17
2021-03-11,12
2021-03-12,11
2021-03-13,11
2021-03-14,12
2021-03-15,14
2021-03-16,14
2021-03-17,9
2021-03-18,11
2021-03-19,9
2021-03-20,16
2021-03-21,9
2021-03-22,13
2021-03-23,10
2021-03-24,14
2021-03-25,14
2021-03-26,16
2021-03-27,13
2021-03-28,13
2021-03-29,11
2021-03-30,11
2021-03-31,10
2021-04-01,11
2021-04-02,10
2021-04-03,10
